name,city,address,customer_name,contact_person,contact_phone,service_window,route_note,vendsoft_location_id,active
Primasil,Mikulov na Moravě,Gagarinova 1239,Primasil,,,TU 7,"Zdrojové kódy: 15
Zdrojové názvy: Mikulov_Primasil KÁVA
Servisní dny: TU 7",,False
AZ Klima,Milovice,Milovice 156,AZ Klima,,,"MO,WE 7 | TU 7","Zdrojové kódy: 14, 55
Zdrojové názvy: Milovice_AZ Klima KÁVA | Milovice_AZ Klima POTRAVINY
Trasy: MP_čtvrtek_5AP9000_NEW,MP_pondělí_5AP9000_NEW
Servisní dny: MO,WE 7 | TU 7
Počet automatů ve zdroji: 2",,True
Bylinky jídelna,Miroslav,Suchohrdly u Miroslavi 208,Bylinky jídelna,,,"MO,WE 7 | TU 7","Zdrojové kódy: 17, 51
Zdrojové názvy: Suchohrdly_Bylinky jídelna KÁVA | Suchohrdly_Bylinky jídelna POTRAVINY
Servisní dny: MO,WE 7 | TU 7",,False
Bylinky nová hala,Miroslav,Suchohrdly u Miroslavi 208,Bylinky nová hala,,,"MO,WE,FR 7 | TU 7","Zdrojové kódy: 18, 52
Zdrojové názvy: Suchohrdly_Bylinky nová hala KÁVA | Suchohrdly_Bylinky nová hala POTRAVINY
Servisní dny: MO,WE,FR 7 | TU 7",,False
BVK ČOV Modřice,Modřice,Svratecká 989,BVK ČOV Modřice,,,TU 7,"Zdrojové kódy: 33
Zdrojové názvy: Brno_BVK ČOV Modřice
Trasy: LD_pátek_2TX7829
Operátor: Markéta Jakšová, od 1.9.2025
Servisní dny: TU 7
Kategorie servisu: C
Sektor: malá firma
Počet automatů ve zdroji: 1",,True
Microtechnic,Modřice,Evropská 884,Microtechnic,Ivana Ambrožová,+420 703 144 039,"TU 7 | TU,FR 7","Zdrojové kódy: 76, 77
Zdrojové názvy: Microtechnic KÁVA | Microtechnic POTRAVINY
Trasy: LD_pondělí_2TX7928 | LD_pátek_2TX7829,LD_pondělí_2TX7928,LD_středa_2TX7829
Operátor: Markéta Jakšová, od 1.9.2025
Servisní dny: TU 7 | TU,FR 7
Kategorie servisu: B
Sektor: malá firma
Počet automatů ve zdroji: 2",,True
Vinařství,Mutěnice,Údolní 1174,Vinařství,,,FR 14,"Zdrojové kódy: 38
Zdrojové názvy: Mutěnice_Vinařství
Trasy: MP_pondělí_5AP9000_NEW
Servisní dny: FR 14
Počet automatů ve zdroji: 1",,True
Plastia,Nové Veselí,Žďárská 313,Plastia,,,WE 14,"Zdrojové kódy: 30
Zdrojové názvy: Nové Veselí_Plastia
Servisní dny: WE 14",,False
TEXTILOMÁNIE,Opatovice,Velké dráhy 74e,TEXTILOMÁNIE,Martin Kramoliš,+420 777 173 911,"FR 7 | MO,WE,FR 7","Zdrojové kódy: 63, 64
Zdrojové názvy: Opatovice_TEXTILOMÁNIE KÁVA | Opatovice_TEXTILOMÁNIE POTRAVINY
Trasy: LD_pátek_2TX7829 | LD_pátek_2TX7829,LD_pondělí_2TX7928
Operátor: Markéta Jakšová, od 1.9.2025
Servisní dny: FR 7 | MO,WE,FR 7
Kategorie servisu: C
Sektor: malá firma
Počet automatů ve zdroji: 2",,True
Pošta Ostrava 23,Ostrava,Martinovská 3168/48,Pošta Ostrava 23,,,MO 7,"Zdrojové kódy: 88
Zdrojové názvy: Pošta Ostrava 23
Servisní dny: MO 7
Kategorie servisu: D
Sektor: veřejné místo",,True
Sportovní Hala Krásné Pole,Ostrava,Sklopčická 860,Sportovní Hala Krásné Pole,Marek Doležílek,+420 774 637 167,,"Zdrojové kódy: 89
Zdrojové názvy: Sportovní Hala Krásné Pole
Trasy: MN_pátek_3BJ1780,MN_pondělí_3BJ1780
Operátor: Veronika Jirdová
Kategorie servisu: A
Sektor: veřejné místo
Počet automatů ve zdroji: 2",,True
ViaPharma,Ostrava,"17. listopadu,",ViaPharma,Tomáš Kurka,608 709 947,FR 7,"Zdrojové kódy: 65
Zdrojové názvy: Ostrava_ViaPharma KÁVA
Trasy: MN_pátek_3BJ1780
Servisní dny: FR 7
Počet automatů ve zdroji: 1",,True
ViaPharma_POTRAVINY,Ostrava,17. listopadu,ViaPharma_POTRAVINY,Tomáš Kurka,608 709 947,"TU,FR 7","Zdrojové kódy: 48
Zdrojové názvy: Ostrava_ViaPharma_POTRAVINY
Trasy: MN_pátek_3BJ1780,MN_středa_3BJ1780,MN_pondělí_3BJ1780
Servisní dny: TU,FR 7
Počet automatů ve zdroji: 1",,True
REMANTE GROUP s.r.o.,Otice,K Rybníčkům 13,REMANTE GROUP s.r.o.,Bártková Jarmila,724 873 740,TH 7,"Zdrojové kódy: 85, 86
Zdrojové názvy: REMANTE GROUP s.r.o. KÁVA | REMANTE GROUP s.r.o. POTRAVINY
Trasy: MN_pátek_3BJ1780,MN_středa_3BJ1780 | MN_středa_3BJ1780
Servisní dny: TH 7
Počet automatů ve zdroji: 2",,True
Archeopark SEZÓNKA,Pavlov,23. dubna 264,Archeopark SEZÓNKA,Mgr. Zuzana HAVLICKÁ,+420 720 948 231,"MO,FR 7","Zdrojové kódy: 50
Zdrojové názvy: Pavlov_Archeopark SEZÓNKA
Servisní dny: MO,FR 7",,False
ViaPharma,Podolí u Brna,664 03 Podolí u Brna,ViaPharma,Seget Tomáš,734 520 978,"MO,TU,WE,FR 7","Zdrojové kódy: 47
Zdrojové názvy: Brno_ViaPharma KÁVA
Trasy: MN_pondělí_3BJ1780
Operátor: Markéta Jakšová, od 1.9.2025
Servisní dny: MO,TU,WE,FR 7
Kategorie servisu: A
Sektor: střední firma
Počet automatů ve zdroji: 2",,True
ViaPharma,Podolí u Brna,,ViaPharma,,,"MO,WE,FR 7","Zdrojové kódy: 59
Zdrojové názvy: Brno_ViaPharma POTRAVINY
Trasy: MN_pondělí_3BJ1780,LD_pátek_2TX7829,LD_středa_2TX7829
Operátor: Markéta Jakšová, od 1.9.2025
Servisní dny: MO,WE,FR 7
Kategorie servisu: A
Sektor: střední firma
Počet automatů ve zdroji: 2",,True
Apex,Pohořelice,Vídeňská 1513,Apex,,,"MO,WE 7 | TU 7","Zdrojové kódy: 16, 53
Zdrojové názvy: Pohořelice_Apex KÁVA | Pohořelice_Apex POTRAVINY
Trasy: MP_pondělí_5AP9000_NEW
Operátor: Markéta Jakšová, od 1.9.2025
Servisní dny: MO,WE 7 | TU 7
Kategorie servisu: B
Sektor: malá firma
Počet automatů ve zdroji: 2",,True
stavba,Slavkov u Brna,Sadova,stavba,Lukáš Blaha,+420 608 833 168,MO 7,"Zdrojové kódy: 73
Zdrojové názvy: Slavkov u Brna_stavba
Servisní dny: MO 7",,False
Sportisimo,Slezská Ostrava-Hrušov,Žižkova,Sportisimo,Renata Hujdičová,+420 720 935 298,"1 | MO,TH 7 | MO,TU,WE,TH,FR 7","Zdrojové kódy: 19, 66, 67
Zdrojové názvy: Ostrava_Sportisimo COLA | Ostrava_Sportisimo KÁVA | Ostrava_Sportisimo POTRAVINY
Trasy: MN_pondělí_3BJ1780,MN_středa_3BJ1780,MN_pátek_3BJ1780 | MN_pátek_3BJ1780,MN_středa_3BJ1780,MN_pondělí_3BJ1780
Servisní dny: 1 | MO,TH 7 | MO,TU,WE,TH,FR 7
Počet automatů ve zdroji: 7",,True
Hotel Kovák,Slezská Ostrava-Kunčice,Vratimovská 142,Hotel Kovák,Ivana Zavadilová,,"MO,WE 7 | TU 7","Zdrojové kódy: 68, 69
Zdrojové názvy: Ostrava_Hotel Kovák - KÁVA | Ostrava_Hotel Kovák - POTRAVINY
Trasy: MN_pátek_3BJ1780 | MN_středa_3BJ1780,MN_pátek_3BJ1780,MN_pondělí_3BJ1780
Servisní dny: MO,WE 7 | TU 7
Počet automatů ve zdroji: 3",,True
Vitar,Tišnov,Železné 113,Vitar,Rober Buček,+420 728 360 893,"FR 7 | MO,WE,FR 7","Zdrojové kódy: 74, 75
Zdrojové názvy: Tišnov_Vitar KÁVA | Tišnov_Vitar POTRAVINY
Trasy: LD_pondělí_2TX7928 | LD_pondělí_2TX7928,LD_středa_2TX7829,MP_čtvrtek_5AP9000_NEW,LD_pátek_2TX7829
Operátor: Markéta Jakšová, od 1.9.2025
Servisní dny: FR 7 | MO,WE,FR 7
Kategorie servisu: A
Sektor: střední firma
Počet automatů ve zdroji: 3",,True
Dvořák Truck,Velké Meziříčí,Karlov 1119,Dvořák Truck,,,TH 7,"Zdrojové kódy: 21
Zdrojové názvy: Velké Meziříčí_Dvořák Truck
Servisní dny: TH 7",,False
Kabelové Bubny,Velké Meziříčí,Františkov 88/10,Kabelové Bubny,,+420 777 717 884,TH 7,"Zdrojové kódy: 22
Zdrojové názvy: Velké Meziříčí_Kabelové Bubny
Trasy: MP_čtvrtek_5AP9000_NEW
Operátor: Markéta Jakšová, od 1.9.2025
Servisní dny: TH 7
Kategorie servisu: B
Sektor: malá firma
Počet automatů ve zdroji: 1",,True
Paramont,Velké Meziříčí,Třebíčská 194,Paramont,,,TH 7,"Zdrojové kódy: 23
Zdrojové názvy: Velké Meziříčí_Paramont
Trasy: MP_čtvrtek_5AP9000_NEW
Operátor: Markéta Jakšová, od 1.9.2025
Servisní dny: TH 7
Kategorie servisu: C
Sektor: malá firma
Počet automatů ve zdroji: 1",,True
Dendro,Znojmo,Dr. M. Horákové 861,Dendro,,,TH 14,"Zdrojové kódy: 37
Zdrojové názvy: Znojmo_Dendro
Servisní dny: TH 14
Počet automatů ve zdroji: 1",,True
KILI,Šlapanice u Brna,Hybešova 1647,KILI,,,"MO,WE,FR 7 | TU 7","Zdrojové kódy: 2, 58
Zdrojové názvy: Brno_KILI KÁVA | Brno_Kili POTRAVINY
Trasy: LD_pondělí_2TX7928 | LD_pondělí_2TX7928,LD_středa_2TX7829,LD_pátek_2TX7829
Operátor: Markéta Jakšová, od 1.9.2025
Servisní dny: MO,WE,FR 7 | TU 7
Kategorie servisu: B
Sektor: malá firma",,False
VN machinery s.r.o.,Židlochovice,Nádražní 919,VN machinery s.r.o.,Ing. Andrea Nečasová,+420 604 800 109,FR 7,"Zdrojové kódy: 91
Zdrojové názvy: VN machinery s.r.o.
Trasy: MP_pondělí_5AP9000_NEW
Operátor: Markéta Jakšová
Servisní dny: FR 7
Kategorie servisu: B
Sektor: malá firma
Počet automatů ve zdroji: 1",,True
Okresní soud,Žďár nad Sázavou,Strojírenská 2210/28,Okresní soud,Ing. Monika Sobotková,601 090 786,TH 14,"Zdrojové kódy: 42
Zdrojové názvy: Žďár nad Sázavou_Okresní soud
Servisní dny: TH 14",,False
Poliklinika,Žďár nad Sázavou,Studentská 1699 /4,Poliklinika,,,TH 14,"Zdrojové kódy: 32
Zdrojové názvy: Žďár nad Sázavou_Poliklinika
Servisní dny: TH 14",,False
